"height10","z","ci_low","ci_high","height_cm","sex","method"
17.0010084033613,-0.755781829317986,-1.04359331953299,-0.467970339102986,170.010084033613,"Female","Allometry"
17.0255462184874,-0.761649161567546,-1.06391376615259,-0.459384556982502,170.255462184874,"Female","Allometry"
17.0500840336134,-0.767481278928866,-1.0844126910841,-0.45054986677363,170.500840336134,"Female","Allometry"
17.0746218487395,-0.773281115975969,-1.10507518115534,-0.441487050796593,170.746218487395,"Female","Allometry"
17.0991596638655,-0.779051607282872,-1.12588677795494,-0.432216436610806,170.991596638655,"Female","Allometry"
17.1236974789916,-0.784795687423597,-1.14683341549204,-0.422757959355155,171.236974789916,"Female","Allometry"
17.1482352941176,-0.790516290972162,-1.16790136742171,-0.413131214522616,171.482352941176,"Female","Allometry"
17.1727731092437,-0.796216352502589,-1.1890772023134,-0.40335550269178,171.727731092437,"Female","Allometry"
17.1973109243697,-0.801898806588896,-1.2103477456776,-0.393449867500194,171.973109243697,"Female","Allometry"
17.2218487394958,-0.807566587805103,-1.23170004767276,-0.383433127937449,172.218487394958,"Female","Allometry"
17.2463865546218,-0.813222630725232,-1.25312135559117,-0.373323905859292,172.463865546218,"Female","Allometry"
17.2709243697479,-0.8188698699233,-1.27459909037192,-0.363140649474684,172.709243697479,"Female","Allometry"
17.295462184874,-0.824511239973329,-1.29612082651396,-0.352901653432695,172.95462184874,"Female","Allometry"
17.32,-0.830149675449338,-1.31767427486682,-0.342625076031855,173.2,"Female","Allometry"
14.4,-0.145834793763856,-0.676543573797096,0.384873986269384,144,"Female","Conditional"
14.4245378151261,-0.150047175076539,-0.665099692000055,0.365005341846977,144.245378151261,"Female","Conditional"
14.4490756302521,-0.154260983439217,-0.653677548460824,0.345155581582391,144.490756302521,"Female","Conditional"
14.4736134453782,-0.158477645901885,-0.642293031746037,0.325337739942268,144.736134453782,"Female","Conditional"
14.4981512605042,-0.162698589514537,-0.63096205897015,0.305564879941076,144.981512605042,"Female","Conditional"
14.5226890756303,-0.166925241327171,-0.619700578533487,0.285850095879146,145.226890756303,"Female","Conditional"
14.5472268907563,-0.171159028389779,-0.608524573248101,0.266206516468542,145.472268907563,"Female","Conditional"
14.5717647058824,-0.175401377752358,-0.597450063902926,0.246647308398209,145.717647058824,"Female","Conditional"
14.5963025210084,-0.179653716464903,-0.586493113326664,0.227185680396859,145.963025210084,"Female","Conditional"
14.6208403361345,-0.183917471577408,-0.57566983101437,0.207834887859554,146.208403361345,"Female","Conditional"
14.6453781512605,-0.188194070139868,-0.564996378391658,0.188608238111922,146.453781512605,"Female","Conditional"
14.6699159663866,-0.192484939202279,-0.554488974798618,0.169519096394059,146.699159663866,"Female","Conditional"
14.6944537815126,-0.196791505814636,-0.54416390428333,0.150580892654058,146.944537815126,"Female","Conditional"
14.7189915966387,-0.201115197026934,-0.534037523301767,0.131807129247899,147.189915966387,"Female","Conditional"
14.7435294117647,-0.205457439889168,-0.524126269425366,0.113211389647031,147.435294117647,"Female","Conditional"
14.7680672268908,-0.209819661451332,-0.514446671158183,0.0948073482555186,147.680672268908,"Female","Conditional"
14.7926050420168,-0.214203288763423,-0.505015358959211,0.0766087814323662,147.926050420168,"Female","Conditional"
14.8171428571429,-0.218609748875434,-0.495849077548288,0.0586295797974203,148.171428571429,"Female","Conditional"
